상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
CU,소매,종합소매점,편의점,체인화 편의점,미도아파트2차,경기도 광명시 소하동 933,경기도 광명시 영당로22번길 19,14333,37.4363777173,126.8765905872
CU,소매,종합소매점,편의점,체인화 편의점,광명삼익아파트,경기도 광명시 소하동 48-13,경기도 광명시 하안로 172,14313,37.4531841397,126.8881240174
CU,소매,종합소매점,편의점,체인화 편의점,하안9단지고층주공아파트,경기도 광명시 하안동 13,경기도 광명시 하안로 364,14246,37.4675441425,126.8773746658
CU,소매,종합소매점,편의점,체인화 편의점,하안8단지고층주공아파트,경기도 광명시 하안동 260,경기도 광명시 하안로 237,14309,37.4572419497,126.8823988266
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 158-185,경기도 광명시 목감로202번길 4,14202,37.4811291036,126.8524562509
CU,소매,종합소매점,편의점,체인화 편의점,스카이빌,경기도 광명시 일직동 521,경기도 광명시 양달로20번길 2,14351,37.4142180626,126.8814059615
CU,소매,종합소매점,편의점,체인화 편의점,광명역세권휴먼시아,경기도 광명시 소하동 1373,경기도 광명시 성채안로 26,14325,37.4345957284,126.8873501787
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 64-14,경기도 광명시 광이로 50,14212,37.4828227045,126.859485313
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 123-20,경기도 광명시 광명로928번길 39,14217,37.4803993344,126.8597386724
CUTEX,소매,종합소매점,편의점,체인화 편의점,월드메르디앙아파트,경기도 광명시 광명동 781,경기도 광명시 목감로 96,14293,37.4766802186,126.8470725522
CU광명소하람점,소매,종합소매점,편의점,체인화 편의점,소하람2,경기도 광명시 소하동 1343-2,경기도 광명시 소하로92번길 11,14316,37.4464115659,126.8820432729
CU철산원룸점,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 철산동 190,경기도 광명시 연서일로 13,14215,37.4826570508,126.8641211622
D&P,소매,종합소매점,잡화점,그외 기타 종합 소매업,다복빌라,경기도 광명시 광명동 98-18,경기도 광명시 광명로927번길 12-1,14201,37.4821222716,126.8540936437
D.I.Y앵글,소매,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,김앤정홈,경기도 광명시 일직동 507-4,경기도 광명시 일직로99번안길 5,14354,37.4206882711,126.8915626823
DAONPLUS,소매,기타판매업,통신판매,전자상거래업,,경기도 광명시 광명동 43-48,경기도 광명시 새터로 97-1,14266,37.4760442308,126.857045041
DS렌탈,생활서비스,물품기기대여,렌트카,자동차 임대업,철산푸르지오하늘채아파트,경기도 광명시 철산동 637,경기도 광명시 디지털로 24,14241,37.4721116979,126.8687190176
E-편한수퍼,소매,종합소매점,수퍼마켓,슈퍼마켓,,경기도 광명시 광명동 324-35,경기도 광명시 광명로814번길 9,14274,37.4717671882,126.8520115281
E-편한안경,소매,사진/광학/정밀기기소매,안경원,안경 소매업,,경기도 광명시 광명동 37-1,경기도 광명시 오리로 936,14217,37.4782090964,126.8590645198
E-해법수학,학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,하안9단지고층주공아파트,경기도 광명시 하안동 13,경기도 광명시 하안로 364,14246,37.4675441425,126.8773746658
E2학원,학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,주공상가,경기도 광명시 철산동 233-1,경기도 광명시 모세로 6,14233,37.4809014098,126.8652323883
EBS독서실,학문/교육,도서관/독서실,독서실,독서실 운영업,유창빌딩,경기도 광명시 하안동 33-5,경기도 광명시 범안로 1059,14247,37.4630148984,126.8800158874
EDIYACOFFEE,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,,경기도 광명시 광명동 150-17,경기도 광명시 오리로 974,14220,37.4794836811,126.8551503054
EGC&T,생활서비스,행사/이벤트,행사대행,전시 및 행사 대행업,광명테크노파크,경기도 광명시 소하동 1345,경기도 광명시 하안로 60,14322,37.4446218805,126.8947591629
EPRINTER,소매,사무/문구/컴퓨터,컴퓨터/주변기기,"컴퓨터 및 주변장치, 소프트웨어 소매업",광명테크노파크,경기도 광명시 소하동 1345,경기도 광명시 하안로 60,14322,37.4446218805,126.8947591629
ESM네트웍스,소매,종합소매점,잡화점,그외 기타 종합 소매업,환지빌딩,경기도 광명시 광명동 104-13,경기도 광명시 오리로976번길 34,14219,37.4820980256,126.856320992
ESSENTIALSTUDY,학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,광명빌딩,경기도 광명시 철산동 245-7,경기도 광명시 철산로 21,14236,37.4764900176,126.8682589811
